LAYER ID	 INDIVIDUAL NAME	 ORGANISATION NAME	 POSITION NAME	 PHONE	 DELIVERY POINT	 CITY	 POSTAL CODE	 COUNTRY	 EMAIL	 ROLE
51872	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51872	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51870	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51870	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51769	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51769	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51871	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51871	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51932	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51932	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51767	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51767	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51910	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51910	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51768	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
51768	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51760	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51760	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51877	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51877	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51933	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51933	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51753	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51753	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52344	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52344	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51868	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51868	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51869	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51869	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53451	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53451	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51778	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51778	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51934	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51934	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52118	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52118	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53401	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53401	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51928	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51928	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51757	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51757	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52117	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52117	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51722	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51722	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51909	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51909	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52109	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52109	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52602	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52602	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51867	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51867	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53399	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53399	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53529	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53529	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51918	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51918	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52110	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52110	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52338	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52338	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51866	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51866	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51770	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51770	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51907	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51907	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53398	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53398	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53519	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53519	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52105	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52105	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51579	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
51579	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
